User ID,Product Code,Payment Status,Coupon code,Lead Registered Time,Sales Date,Source,Product Amount with GST,Payment Mode,Currency  Code,Transaction Bank
user291,Product5,paid,,2022-07-30 15:52:00,2022-07-30,Direct,1999.0,card,INR,
user308,Product28,Initiated,,2022-07-30 15:22:00,2022-07-30,Direct,2999.0,,INR,
user293,Product8,Initiated,,2022-07-30 15:02:00,2022-07-30,Influencer,1499.0,,INR,
user294,Product4,Initiated,,2022-07-30 14:59:00,2022-07-30,Direct,2022.0,,INR,
user309,Product8,Initiated,,2022-07-30 14:58:00,2022-07-30,Direct,1499.0,,INR,
user328,Product25,Initiated,,2022-07-30 14:39:00,2022-07-30,Direct,1499.0,,INR,
user297,Product1,Initiated,Coupon3,2022-07-30 14:06:00,2022-07-30,Direct,2399.0,,INR,
user298,Product18,Initiated,,2022-07-30 13:57:00,2022-07-30,Direct,1999.0,,INR,
user332,Product30,Initiated,,2022-07-30 13:26:00,2022-07-30,Direct,499.0,,INR,
user338,Product9,Initiated,,2022-07-30 12:45:00,2022-07-30,Direct,999.0,,INR,
user339,Product5,Initiated,,2022-07-30 12:41:00,2022-07-30,Direct,1999.0,,INR,
user317,Product6,Initiated,,2022-07-30 12:17:00,2022-07-30,Direct,899.0,,INR,
user341,Product8,Initiated,,2022-07-30 12:12:00,2022-07-30,Influencer,1499.0,,INR,
user342,Product9,paid,,2022-07-30 12:10:00,2022-07-30,Direct,999.0,upi,INR,
user343,Product4,Initiated,,2022-07-30 12:09:00,2022-07-30,Direct,2022.0,,INR,
user318,Product8,Initiated,,2022-07-30 12:07:00,2022-07-30,Influencer,1499.0,,INR,
user319,Product10,Initiated,,2022-07-30 12:06:00,2022-07-30,Direct,999.0,,INR,
user363,Product28,Initiated,,2022-07-30 11:37:00,2022-07-30,Direct,2999.0,,INR,
user364,Product8,Initiated,,2022-07-30 11:34:00,2022-07-30,Influencer,1499.0,,INR,
user389,Product8,Initiated,,2022-07-30 11:29:00,2022-07-30,Influencer,1499.0,,INR,
user345,Product1,Initiated,,2022-07-30 11:26:00,2022-07-30,Paid,3999.0,,INR,
user390,Product1,Initiated,,2022-07-30 11:25:00,2022-07-30,Paid,3999.0,,INR,
user365,Product9,Initiated,,2022-07-30 11:17:00,2022-07-30,Direct,999.0,,INR,
user366,Product4,Initiated,,2022-07-30 11:14:00,2022-07-30,Direct,2022.0,,INR,
user392,Product5,Initiated,,2022-07-30 11:07:00,2022-07-30,Direct,1999.0,,INR,
user346,Product3,Initiated,,2022-07-30 11:06:00,2022-07-30,Direct,1999.0,,INR,
user367,Product3,Initiated,,2022-07-30 11:02:00,2022-07-30,Direct,1999.0,,INR,
user347,Product3,Initiated,,2022-07-30 11:00:00,2022-07-30,Direct,1999.0,,INR,
user348,Product4,paid,,2022-07-30 10:53:00,2022-07-30,Direct,2022.0,upi,INR,
user350,Product4,Initiated,,2022-07-30 10:34:00,2022-07-30,Direct,2022.0,,INR,
user353,Product1,Initiated,,2022-07-30 10:14:00,2022-07-30,Direct,3999.0,,INR,
user371,Product8,Initiated,,2022-07-30 10:11:00,2022-07-30,Influencer,1499.0,,INR,
user352,Product24,paid,,2022-07-30 10:04:00,2022-07-30,Direct,666.0,upi,INR,
user372,Product2,paid,,2022-07-30 10:03:00,2022-07-30,Direct,999.0,upi,INR,
user395,Product4,Initiated,,2022-07-30 09:50:00,2022-07-30,Direct,2022.0,,INR,
user397,Product6,Initiated,,2022-07-30 09:11:00,2022-07-30,Direct,899.0,,INR,
user374,Product17,Initiated,,2022-07-30 08:57:00,2022-07-30,Direct,79.0,,USD,
user398,Product5,paid,,2022-07-30 08:43:00,2022-07-30,Direct,1999.0,upi,INR,
user355,Product4,paid,,2022-07-30 08:42:00,2022-07-30,Direct,2022.0,upi,INR,
user376,Product4,Initiated,,2022-07-30 08:18:00,2022-07-30,Direct,2022.0,,INR,
user399,Product10,Initiated,,2022-07-30 08:04:00,2022-07-30,Direct,999.0,,INR,
user400,Product4,Initiated,,2022-07-30 07:39:00,2022-07-30,Direct,2022.0,,INR,
user356,Product31,Initiated,,2022-07-30 07:36:00,2022-07-30,Direct,1499.0,,INR,
user380,Product1,Initiated,,2022-07-30 07:06:00,2022-07-30,Paid,3999.0,,INR,
user382,Product5,Initiated,,2022-07-30 07:00:00,2022-07-30,Direct,1999.0,,INR,
user401,Product4,Initiated,,2022-07-30 06:51:00,2022-07-30,Direct,2022.0,,INR,
user357,Product32,paid,,2022-07-30 06:46:00,2022-07-30,Direct,1499.0,upi,INR,
user360,Product4,paid,,2022-07-30 04:00:00,2022-07-29,Direct,2022.0,upi,INR,
user361,Product6,Initiated,,2022-07-30 02:24:00,2022-07-29,Direct,899.0,,INR,
user385,Product5,paid,,2022-07-30 02:07:00,2022-07-29,Direct,1999.0,upi,INR,
user429,Product4,Initiated,,2022-07-30 01:19:00,2022-07-29,Direct,2022.0,,INR,
user430,Product4,Initiated,,2022-07-30 00:44:00,2022-07-29,Direct,2022.0,,INR,
user406,Product36,Initiated,,2022-07-30 00:13:00,2022-07-29,Direct,69.0,,USD,
user406,Product33,Initiated,,2022-07-30 00:03:00,2022-07-29,Direct,199.0,,USD,
user432,Product9,paid,,2022-07-29 23:45:00,2022-07-29,Direct,999.0,upi,INR,
user434,Product4,paid,,2022-07-29 23:31:00,2022-07-29,Direct,2022.0,upi,INR,
user449,Product4,Initiated,,2022-07-29 23:27:00,2022-07-29,Direct,2022.0,,INR,
user407,Product9,Initiated,,2022-07-29 23:22:00,2022-07-29,Direct,999.0,,INR,
user410,Product32,paid,,2022-07-29 22:59:00,2022-07-29,Direct,69.0,card,USD,
user411,Product4,Initiated,,2022-07-29 22:46:00,2022-07-29,Direct,2022.0,,INR,
user412,Product14,paid,,2022-07-29 22:28:00,2022-07-29,Direct,699.0,upi,INR,
user414,Product19,paid,,2022-07-29 22:15:00,2022-07-29,Direct,2999.0,card,INR,
user437,Product35,Initiated,,2022-07-29 21:30:00,2022-07-29,Direct,1499.0,,INR,
user415,Product2,Initiated,,2022-07-29 21:30:00,2022-07-29,Direct,999.0,,INR,
user439,Product1,Initiated,,2022-07-29 21:09:00,2022-07-29,Direct,399.0,,USD,
user460,Product3,Initiated,,2022-07-29 20:55:00,2022-07-29,Direct,149.0,,USD,
user419,Product4,paid,,2022-07-29 20:22:00,2022-07-29,Direct,2022.0,card,INR,
user462,Product10,Initiated,,2022-07-29 20:22:00,2022-07-29,Direct,999.0,,INR,
user463,Product5,Initiated,,2022-07-29 20:21:00,2022-07-29,Direct,1999.0,,INR,
user420,Product33,Initiated,,2022-07-29 20:18:00,2022-07-29,Direct,2999.0,,INR,
user422,Product34,paid,,2022-07-29 20:06:00,2022-07-29,Direct,1499.0,card,INR,
user443,Product4,paid,,2022-07-29 19:57:00,2022-07-29,Direct,2022.0,upi,INR,
user444,Product30,paid,,2022-07-29 19:49:00,2022-07-29,Direct,499.0,card,INR,
user445,Product8,Initiated,Coupon4,2022-07-29 19:45:00,2022-07-29,Influencer,1499.0,,INR,
user425,Product4,Initiated,,2022-07-29 19:43:00,2022-07-29,Direct,2022.0,,INR,
